"TransactionID"	"CustomerID"	"ProductID"	"SalesAmount"	"TransactionDate"
83	3	44	2349.3	2023-12-24
84	64	48	2805.83	2023-03-28
85	97	23	2162.61	2023-09-23
86	3	44	5271.29	2023-11-25
87	66	24	2728.99	2023-01-03
88	24	43	3206.09	2023-08-25
89	21	15	430.66	2023-12-05
90	100	31	1540.83	2023-10-05
91	9	17	1192.77	2023-06-03
92	15	50	5091.38	2023-04-22
93	9	33	7766.43	2023-07-09
94	83	8	2567.89	2023-01-30
95	74	4	4203.34	2023-07-18
96	27	2	6326.85	2023-09-17
97	52	26	6713.53	2023-04-24
98	94	20	5118.66	2023-03-27
99	56	48	6492.04	2023-03-09
100	20	26	2200.22	2023-05-27
101	11	41	8995.07	2023-07-23
102	2	50	6353.03	2023-07-11
103	97	10	9045.89	2023-01-16
104	38	14	2585.05	2023-09-21
105	30	41	3468.77	2023-06-30
106	85	19	939.4	2023-03-05
107	2	29	3932.27	2023-01-24
108	95	44	2094.78	2023-03-15
109	80	11	7599.44	2023-03-16
110	79	37	4202.46	2023-10-08
111	97	6	7698.72	2023-04-20
112	12	20	3357.7	2023-08-17
113	69	50	6421.62	2023-12-29
114	82	8	2397.67	2023-02-08
115	50	28	5887.5	2023-06-03
116	88	26	2095.72	2023-07-09
117	94	3	4110.4	2023-12-09
118	49	1	2474.94	2023-11-11
119	22	3	8324.03	2023-07-20
120	92	6	3378.32	2023-10-07
121	64	41	3288.33	2023-05-10
122	62	38	6066.37	2023-10-15
123	32	1	737.16	2023-05-26
124	76	27	9227.1	2023-11-21
125	100	27	2192.09	2023-02-24
126	62	27	2150.34	2023-05-28
127	15	33	8448.67	2023-08-03
128	86	41	7512.01	2023-10-31
129	43	5	2079.17	2023-03-19
130	62	24	6763.11	2023-05-06
131	52	20	4105.08	2023-04-15
132	57	26	9985.97	2023-01-07
133	49	25	759.01	2023-03-14
134	2	34	2545.12	2023-09-27
135	20	29	8893.02	2023-04-09
136	99	33	2442.07	2023-09-26
137	56	41	1346.65	2023-04-13
138	2	40	4108.17	2023-05-13
139	6	22	4921.31	2023-03-05
140	80	2	5545.17	2023-05-01
141	44	49	4336.44	2023-08-02
142	47	47	2691.79	2023-01-28
143	15	6	4800.43	2023-05-29
144	35	33	4311.26	2023-03-19
145	12	8	8043.47	2023-09-22
146	36	24	6744.21	2023-10-04
147	72	33	9902.05	2023-05-05
148	32	37	4341.17	2023-07-18
149	91	34	2790.31	2023-02-26
150	45	4	7231.61	2023-04-16
151	31	33	665.79	2023-10-02
152	21	14	4760.9	2023-01-14
153	71	22	1416.56	2023-12-03
154	28	49	5680.53	2023-09-16
155	83	35	1917.5	2023-12-16
156	5	7	6574.02	2023-10-22
157	39	27	997.94	2023-12-26
158	9	35	2246.51	2023-05-28
159	58	39	4599.82	2023-08-23
160	1	34	8187.39	2023-06-23
161	92	15	4305.21	2023-05-23
162	92	19	9796.1	2023-08-27
163	74	28	2086.95	2023-01-03
164	58	15	6194.34	2023-12-02
165	61	25	7648.88	2023-01-13
166	54	2	1232.56	2023-05-31
167	8	11	174.11	2023-04-16
168	33	34	9140.52	2023-05-23
169	99	48	5676.47	2023-10-14
170	36	21	5410.54	2023-06-28
171	77	32	4713.98	2023-12-06
172	53	16	6456.46	2023-03-04
173	89	44	4289.95	2023-09-29
174	15	18	5732.56	2023-07-19
175	67	34	9498.67	2023-06-02
176	58	13	2317.45	2023-03-04
177	49	8	8218.11	2023-07-05
178	45	15	9552.25	2023-09-16
179	89	23	3877.99	2023-01-29
180	69	1	7927.82	2023-12-08
181	89	6	5022.91	2023-06-01
182	2	38	6178.92	2023-08-13
183	65	35	8958.72	2023-12-23
184	79	45	2819.83	2023-08-02
185	87	26	1541.76	2023-02-09
186	46	31	5354.78	2023-09-06
187	100	8	4237.71	2023-03-08
188	4	47	9318.27	2023-07-28
189	23	32	3620.43	2023-07-15
190	78	9	3804.93	2023-02-15
191	14	41	206.57	2023-05-17
192	40	45	3323.28	2023-12-05
193	98	18	5912.38	2023-08-15
194	86	9	8808.14	2023-07-06
195	46	39	429.64	2023-07-23
196	46	15	2720.14	2023-02-22
197	76	15	5693.04	2023-10-30
198	45	23	1521.72	2023-11-08
199	60	40	3398.42	2023-08-31
200	3	40	2262.95	2023-07-24
